id,address,categories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
AVwc_6KEIN2L1WUfrKAH,Cascade Village Mall Across From Target,Pizza Place,Bend,US,us/or/bend/cascadevillagemallacrossfromtarget/-2134715703,44.10266476,-121.3007971,,22.5,15.5,USD,2016-03-31T02:19:42Z,,Bianca Pizza,Little Pizza Paradise,97701,,,,OR
AVwc_6KEIN2L1WUfrKAH,Cascade Village Mall Across From Target,Pizza Place,Bend,US,us/or/bend/cascadevillagemallacrossfromtarget/-2134715703,44.10266476,-121.3007971,,18.95,18.95,USD,2016-03-31T02:19:42Z,,Cheese Pizza,Little Pizza Paradise,97701,,,,OR
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,,12,12,USD,2015-10-23T03:57:26Z,,"Pizza, Margherita",The Brentwood,90049,USD,50,55,Brentwood
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,,13,13,USD,2015-10-23T03:57:26Z,,"Pizza, Mushroom",The Brentwood,90049,USD,50,55,Brentwood
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,,13,13,USD,2015-10-23T03:57:26Z,"Olives, onions, capers, tomatoes","Pizza, Puttenesca",The Brentwood,90049,USD,50,55,Brentwood
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,,15,15,USD,2015-10-23T03:57:26Z,,"Pizza, Salami Piccante",The Brentwood,90049,USD,50,55,Brentwood
AVwc_6qRByjofQCxkcxw,148 S Barrington Ave,"American Restaurant,Bar,Bakery",Los Angeles,US,us/brentwood/losangeles/148sbarringtonave/-1516414008,34.06456347,-118.4690173,,15,15,USD,2015-10-23T03:57:26Z,,"Pizza, White Truffle Meat Sauce",The Brentwood,90049,USD,50,55,Brentwood
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,us/losfeliz/losangeles/5142hollywoodblvd/-286711359,34.1017424,-118.3019729,,10.99,7.99,USD,2016-06-14T02:33:07Z,Choose a pizza size.,Cheese Pizza,Bravo Pizza Hollywood,90027,,,,Los Feliz
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,us/losfeliz/losangeles/5142hollywoodblvd/-286711359,34.1017424,-118.3019729,,11.99,7.99,USD,2016-06-14T02:33:07Z,"Canadian bacon, pineapple.",Hawaiian Pizza,Bravo Pizza Hollywood,90027,,,,Los Feliz
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,us/losfeliz/losangeles/5142hollywoodblvd/-286711359,34.1017424,-118.3019729,,16.99,11.99,USD,2016-06-14T02:33:07Z,,Meat Lover Pizza,Bravo Pizza Hollywood,90027,,,,Los Feliz
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,us/losfeliz/losangeles/5142hollywoodblvd/-286711359,34.1017424,-118.3019729,,5.99,5.99,USD,2016-06-14T02:33:07Z,,Pizza Sub,Bravo Pizza Hollywood,90027,,,,Los Feliz
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,us/losfeliz/losangeles/5142hollywoodblvd/-286711359,34.1017424,-118.3019729,,5.99,5.99,USD,2016-06-14T02:33:07Z,,Super Pizza Sub,Bravo Pizza Hollywood,90027,,,,Los Feliz
AVwc_7d_IN2L1WUfrKNN,5142 Hollywood Blvd,Pizza Place,Los Angeles,US,us/losfeliz/losangeles/5142hollywoodblvd/-286711359,34.1017424,-118.3019729,,16.99,10.99,USD,2016-06-14T02:33:07Z,,Veggie Pizza,Bravo Pizza Hollywood,90027,,,,Los Feliz
AVwc_8WAByjofQCxkdDA,801 Saint Emanuel St,"Bar,Beer Garden,Sports Bar,Sports Bar, Bar, and Beer Garden",Houston,US,us/tx/houston/801saintemanuelst/960946322,29.75247947,-95.35416442,,9.95,9.95,USD,2016-06-18T15:32:15Z,Choose any of your own toppings to make it your own,Create Your Own Pizza,Lucky's Pub,77003,USD,25,40,TX
AVwc_abAIN2L1WUfrEps,478 South St,"American Restaurant, Seafood Restaurant, and French Restaurant",Hyannis,US,us/ma/hyannis/478southst/-1587858019,41.64827787,-70.29134463,,8.95,8.95,USD,2016-07-01T15:03:32Z,,Cheese Pizza,Roadhouse Cafe,2601,,,,MA
AVwc_abAIN2L1WUfrEps,478 South St,"American Restaurant, Seafood Restaurant, and French Restaurant",Hyannis,US,us/ma/hyannis/478southst/-1587858019,41.64827787,-70.29134463,,10.95,10.95,USD,2016-07-01T15:03:32Z,,Pepperoni Pizza,Roadhouse Cafe,2601,,,,MA
AVwc_dHKkufWRAb51Kei,1 N University Hl,"University,University University",Provo,US,us/ut/provo/1nuniversityhl/-27460736,40.25083927,-111.6492677,,,,,"2016-03-31T02:22:37Z,2016-06-08T16:20:20Z",,House Made Pizza,Brigham Young University,84602,,,,UT
